Frecuencias de nombres
Nombres por nacionalidad
País: ESPAÑOLES


Nº,Nombre,Total,Por mil ‰
1,ANTONIO,651.054,31,704
2,MANUEL,571.248,27,817
3,JOSE,562.710,27,402
4,FRANCISCO,477.811,23,267
5,DAVID,361.907,17,623
6,JUAN,332.539,16,193
7,JAVIER,306.942,14,947
8,JOSE ANTONIO,303.740,14,791
9,DANIEL,291.551,14,197
10,FRANCISCO JAVIER,285.320,13,894
11,JOSE LUIS,284.682,13,863
12,CARLOS,276.374,13,458
13,JESUS,271.666,13,229
14,ALEJANDRO,260.804,12,700
15,MIGUEL,242.095,11,789
16,JOSE MANUEL,238.472,11,613
17,RAFAEL,229.600,11,181
18,MIGUEL ANGEL,223.542,10,886
19,PABLO,220.208,10,723
20,PEDRO,217.266,10,580
21,ANGEL,215.236,10,481
22,SERGIO,207.067,10,083
23,JOSE MARIA,202.507,9,861
24,FERNANDO,199.057,9,693
25,JORGE,192.457,9,372
26,LUIS,187.823,9,146
27,ALBERTO,177.791,8,658
28,ALVARO,161.829,7,880
29,JUAN CARLOS,154.963,7,546
30,DIEGO,152.369,7,420
31,ADRIAN,152.194,7,411
32,JUAN JOSE,150.515,7,329
33,RAUL,140.033,6,819
34,JUAN ANTONIO,131.982,6,427
35,IVAN,130.173,6,339
36,RUBEN,128.363,6,251
37,ENRIQUE,126.200,6,145
38,OSCAR,122.111,5,946
39,RAMON,118.139,5,753
40,VICENTE,114.300,5,566
41,ANDRES,113.340,5,519
42,JUAN MANUEL,111.333,5,421
43,JOAQUIN,108.682,5,292
44,SANTIAGO,107.408,5,230
45,EDUARDO,103.555,5,043
46,VICTOR,103.528,5,041
47,MARIO,103.314,5,031
48,JAIME,95.806,4,665
49,ROBERTO,95.321,4,642
50,FRANCISCO JOSE,95.019,4,627
51,MARCOS,93.426,4,549
52,IGNACIO,89.142,4,341
53,HUGO,85.425,4,160
54,JORDI,82.635,4,024
55,ALFONSO,82.407,4,013
56,RICARDO,78.761,3,835
57,SALVADOR,78.692,3,832
58,GUILLERMO,72.133,3,513
59,MARC,70.573,3,437
60,EMILIO,70.341,3,425
61,GABRIEL,67.856,3,304
62,GONZALO,67.261,3,275
63,JULIO,65.387,3,184
64,JULIAN,64.443,3,138
65,JOSE MIGUEL,63.955,3,114
66,MARTIN,62.449,3,041
67,TOMAS,62.200,3,029
68,AGUSTIN,60.527,2,947
69,JOSE RAMON,57.491,2,800
70,NICOLAS,56.772,2,765
71,JOAN,55.095,2,683
72,ISMAEL,54.239,2,641
73,SAMUEL,53.795,2,620
74,FELIX,53.681,2,614
75,AITOR,51.656,2,515
76,CRISTIAN,51.459,2,506
77,LUCAS,50.286,2,449
78,HECTOR,48.941,2,383
79,JUAN FRANCISCO,46.665,2,272
80,IKER,46.635,2,271
81,ALEX,44.551,2,169
82,JOSEP,44.540,2,169
83,JOSE CARLOS,44.116,2,148
84,MARIANO,43.030,2,095
85,CESAR,42.608,2,075
86,DOMINGO,42.404,2,065
87,ALFREDO,41.671,2,029
88,SEBASTIAN,40.579,1,976
89,JOSE ANGEL,40.473,1,971
90,FELIPE,39.064,1,902
91,JOSE IGNACIO,39.037,1,901
92,RODRIGO,38.270,1,864
93,VICTOR MANUEL,38.244,1,862
94,MATEO,36.920,1,798
95,LUIS MIGUEL,36.073,1,757
96,JOSE FRANCISCO,33.956,1,654
97,XAVIER,33.845,1,648
98,JUAN LUIS,33.819,1,647
99,ALBERT,33.230,1,618
100,GREGORIO,32.207,1,568
101,PAU,32.154,1,566
102,BORJA,30.242,1,473
103,AARON,30.145,1,468
104,ANTONIO JOSE,30.131,1,467
105,LORENZO,29.890,1,456
106,ESTEBAN,29.453,1,434
107,CRISTOBAL,29.444,1,434
108,ARTURO,29.184,1,421
109,IZAN,28.954,1,410
110,ERIC,28.267,1,376
111,JOSE JAVIER,27.431,1,336
112,ANTONIO JESUS,26.757,1,303
113,ISAAC,26.669,1,299
114,JUAN MIGUEL,26.594,1,295
115,JOEL,26.583,1,294
116,ASIER,26.506,1,291
117,EUGENIO,26.380,1,285
118,FRANCISCO MANUEL,26.067,1,269
119,JESUS MARIA,25.942,1,263
120,JAUME,25.429,1,238
121,DARIO,24.428,1,190
122,ABEL,24.348,1,186
123,UNAI,24.192,1,178
124,GERMAN,24.174,1,177
125,PEDRO JOSE,23.831,1,160
126,MIKEL,23.520,1,145
127,JOSE VICENTE,23.384,1,139
128,JONATHAN,23.143,1,127
129,SERGI,22.995,1,120
130,BRUNO,22.959,1,118
131,MOHAMED,22.871,1,114
132,MOISES,22.591,1,100
133,LEO,21.788,1,061
134,JUAN RAMON,21.726,1,058
135,IÑIGO,21.533,1,049
136,POL,21.382,1,041
137,JON,21.227,1,034
138,JUAN PEDRO,21.196,1,032
139,VALENTIN,21.084,1,027
140,GERARD,21.030,1,024
141,CHRISTIAN,21.024,1,024
142,ADOLFO,20.907,1,018
143,MANUEL JESUS,20.757,1,011
144,MARCO,20.227,0,985
145,ARNAU,20.097,0,979
146,MIQUEL,19.509,0,950
147,ORIOL,19.480,0,949
148,ISRAEL,19.384,0,944
149,ISIDRO,19.307,0,940
150,ERNESTO,19.057,0,928
151,BENITO,18.918,0,921
152,ANTONIO MANUEL,18.739,0,913
153,JONATAN,18.590,0,905
154,ELOY,18.517,0,902
155,BERNARDO,18.419,0,897
156,GERARDO,18.321,0,892
157,CARMELO,17.897,0,872
158,FRANCESC,17.605,0,857
159,JESUS MANUEL,17.231,0,839
160,PASCUAL,17.077,0,832
161,ADRIA,16.708,0,814
162,JOSE ALBERTO,16.639,0,810
163,JUAN JESUS,16.623,0,809
164,FEDERICO,16.575,0,807
165,ALONSO,16.367,0,797
166,OLIVER,16.325,0,795
167,SAUL,16.058,0,782
168,IÑAKI,15.872,0,773
169,ROGER,15.793,0,769
170,JOSEP MARIA,15.748,0,767
171,BARTOLOME,15.609,0,760
172,MARTI,15.526,0,756
173,CARLES,15.360,0,748
174,PERE,15.087,0,735
175,GUILLEM,15.001,0,730
176,ELIAS,14.948,0,728
177,ANDER,14.889,0,725
178,KEVIN,14.818,0,722
179,FERMIN,14.763,0,719
180,LLUIS,14.763,0,719
181,MATIAS,14.723,0,717
182,MARCELINO,14.666,0,714
183,ERIK,14.571,0,710
184,PEDRO ANTONIO,14.552,0,709
185,ANTONI,14.510,0,707
186,LUIS ALBERTO,14.437,0,703
187,BENJAMIN,14.374,0,700
188,JOSE ENRIQUE,14.227,0,693
189,ANGEL LUIS,14.109,0,687
190,ABRAHAM,13.661,0,665
191,AURELIO,13.612,0,663
192,JULEN,13.560,0,660
193,FRANCISCO JESUS,13.534,0,659
194,JUAN IGNACIO,13.495,0,657
195,ALEIX,13.416,0,653
196,OMAR,13.355,0,650
197,XABIER,13.299,0,648
198,JUAN PABLO,13.277,0,647
199,ENZO,13.083,0,637
200,MARCO ANTONIO,13.076,0,637
201,GORKA,13.074,0,637
202,FERRAN,12.870,0,627
203,JERONIMO,12.606,0,614
204,JACINTO,12.551,0,611
205,JOSE JUAN,12.459,0,607
206,MANUEL ANGEL,12.459,0,607
207,EUSEBIO,12.384,0,603
208,YERAY,12.207,0,594
209,VICTORIANO,12.001,0,584
210,GUSTAVO,11.912,0,580
211,DAMIAN,11.726,0,571
212,CARLOS JAVIER,11.719,0,571
213,LUIS MANUEL,11.638,0,567
