Frecuencias de nombres
Nombres por nacionalidad
País: ESPAÑOLES


Nº,Nombre,Total,Por mil ‰
1,MARIA CARMEN,645.381,30,044
2,MARIA,572.509,26,652
3,CARMEN,373.494,17,387
4,ANA MARIA,263.043,12,245
5,JOSEFA,262.303,12,211
6,MARIA PILAR,259.423,12,077
7,ISABEL,257.348,11,980
8,MARIA DOLORES,254.432,11,845
9,LAURA,253.956,11,822
10,MARIA TERESA,246.273,11,465
11,ANA,242.381,11,284
12,MARTA,225.069,10,478
13,CRISTINA,223.146,10,388
14,MARIA ANGELES,222.091,10,339
15,LUCIA,206.148,9,597
16,FRANCISCA,203.856,9,490
17,MARIA ISABEL,201.483,9,380
18,MARIA JOSE,200.294,9,324
19,ANTONIA,197.631,9,200
20,DOLORES,186.759,8,694
21,PAULA,170.220,7,924
22,SARA,164.423,7,654
23,MARIA LUISA,155.231,7,226
24,RAQUEL,146.987,6,843
25,ELENA,146.622,6,826
26,ROSA MARIA,145.558,6,776
27,PILAR,141.189,6,573
28,CONCEPCION,140.107,6,522
29,MANUELA,139.305,6,485
30,MARIA JESUS,136.092,6,335
31,MERCEDES,133.007,6,192
32,JULIA,123.948,5,770
33,BEATRIZ,121.899,5,675
34,NURIA,120.329,5,602
35,ALBA,118.850,5,533
36,SILVIA,117.442,5,467
37,IRENE,116.162,5,408
38,ROSARIO,115.993,5,400
39,JUANA,114.418,5,326
40,TERESA,112.651,5,244
41,ENCARNACION,111.788,5,204
42,PATRICIA,109.338,5,090
43,MONTSERRAT,108.372,5,045
44,ROCIO,107.521,5,005
45,ANDREA,105.541,4,913
46,MONICA,100.443,4,676
47,ALICIA,99.305,4,623
48,MARIA MAR,99.205,4,618
49,ROSA,97.748,4,550
50,SONIA,96.219,4,479
51,SANDRA,95.300,4,436
52,SUSANA,94.498,4,399
53,ANGELA,94.104,4,381
54,MARINA,94.055,4,379
55,YOLANDA,90.994,4,236
56,NATALIA,87.520,4,074
57,MARGARITA,85.852,3,997
58,MARIA JOSEFA,85.520,3,981
59,CLAUDIA,80.041,3,726
60,EVA,79.197,3,687
61,INMACULADA,77.992,3,631
62,CARLA,77.887,3,626
63,MARIA ROSARIO,77.597,3,612
64,SOFIA,76.612,3,567
65,MARIA MERCEDES,76.147,3,545
66,ANA ISABEL,75.659,3,522
67,ESTHER,73.503,3,422
68,NOELIA,73.476,3,421
69,VERONICA,68.762,3,201
70,NEREA,66.784,3,109
71,ANGELES,64.942,3,023
72,CAROLINA,63.644,2,963
73,EVA MARIA,62.595,2,914
74,MARIA VICTORIA,62.055,2,889
75,INES,61.696,2,872
76,MIRIAM,61.503,2,863
77,MARIA ROSA,60.916,2,836
78,LORENA,60.738,2,828
79,ANA BELEN,60.362,2,810
80,MARIA CONCEPCION,59.037,2,748
81,MARIA ELENA,58.009,2,700
82,AMPARO,57.542,2,679
83,DANIELA,56.412,2,626
84,VICTORIA,56.206,2,617
85,MARTINA,54.961,2,559
86,MARIA ANTONIA,54.757,2,549
87,ALEJANDRA,52.408,2,440
88,CELIA,52.222,2,431
89,CATALINA,51.692,2,406
90,LIDIA,51.681,2,406
91,MARIA NIEVES,51.592,2,402
92,CONSUELO,49.783,2,318
93,AINHOA,49.359,2,298
94,CLARA,46.767,2,177
95,GLORIA,46.655,2,172
96,MARIA SOLEDAD,46.147,2,148
97,EMILIA,44.804,2,086
98,MARIA CRISTINA,44.616,2,077
